outcome,outcome_label,operation,operation_class,workload_size,concurrency,valid_pairs,traditional_median,traditional_q1,traditional_q3,fabric_median,fabric_q1,fabric_q3,paired_median_difference,difference_ci95_low,difference_ci95_high,paired_median_ratio,ratio_ci95_low,ratio_ci95_high,wilcoxon_statistic,wilcoxon_w_plus,wilcoxon_w_minus,wilcoxon_nonzero_pairs,p_value_unadjusted,rank_biserial_fabric_minus_traditional,p_value_holm,holm_significant_0_05
successful_throughput_ops_s,Successful throughput,OP2,read_check,100,5,10,329.370686025,306.79362305,354.105322994,92.9861998674,88.6521774981,94.8454090311,-231.979315796,-269.420579871,-216.804794146,0.285268007943,0.257558591434,0.299680970866,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP2,read_check,100,10,10,294.84220533,242.873892262,319.501386314,49.0711450028,39.1925257021,81.9976422979,-238.649232293,-274.562822983,-147.993513069,0.159212778596,0.131241903163,0.358722883671,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP2,read_check,500,1,10,139.678255549,134.189741519,155.831953557,43.0764740163,42.4030688306,44.3532442585,-100.482350151,-121.362117506,-88.8145984268,0.299045757269,0.239293768316,0.334885669782,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP2,read_check,500,5,10,341.298135769,276.433871314,393.886476434,76.9984169845,72.6782288308,81.6785433152,-260.744585175,-313.063088093,-191.940581319,0.248533106193,0.207118291675,0.273041368623,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP2,read_check,500,10,10,313.838107713,293.031000472,332.050619613,59.1510054704,57.9772288799,62.2975547309,-252.315596283,-273.699644185,-201.108324127,0.192081510739,0.181324971028,0.232577819748,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP2,read_check,1000,1,10,138.24225341,134.089445998,140.735823476,42.4561366438,39.4500938223,43.672564194,-98.1552783699,-101.647764436,-90.959302359,0.306759659391,0.262347764616,0.318462625923,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP2,read_check,1000,5,10,302.21999918,273.26654612,317.482551858,74.9875325698,71.4547143067,77.2287721825,-224.368697807,-254.242112806,-183.436703063,0.254742772476,0.223647859376,0.28194830568,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP2,read_check,1000,10,10,286.654505778,246.817227596,299.185784346,60.6326783338,57.3843294073,60.8956833045,-226.021827444,-252.327034612,-185.954751819,0.211520988663,0.186620157043,0.251584584065,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP3,ledger_write,100,1,10,77.2359065286,64.4126015514,79.0886532135,0.478142522399,0.474994559902,0.478777934874,-76.7585527465,-79.5959864912,-52.9419660259,0.0061804514745,0.00594936350734,0.0094898310627,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP3,ledger_write,100,5,10,127.33573851,79.8088263428,164.401864058,2.36965479587,2.3651968487,2.37445942217,-124.969552092,-164.719350186,-74.3124799199,0.0195108859473,0.0141537551772,0.031089102849,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP3,ledger_write,100,10,10,154.413028986,149.320851472,166.791435075,64.8623942074,53.7277851386,71.1940752209,-97.3919817098,-101.199287619,-59.275577097,0.40563555545,0.364543922265,0.581688344306,1,1,54,10,0.00390625,-0.963636363636,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP3,ledger_write,500,1,10,70.5217639649,68.5218876431,72.3976954815,0.478387631791,0.474401764574,0.478939351864,-70.0488387672,-72.2101243009,-67.3547608288,0.00670605361739,0.00655274432313,0.00698005838501,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP3,ledger_write,500,5,10,147.823480077,131.201281561,161.660918119,2.37094685851,2.36964247547,2.37381464732,-145.447623106,-161.493147765,-123.968159827,0.0160724536418,0.014497309632,0.0177628949935,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP3,ledger_write,500,10,10,157.797855738,141.720649743,162.04550452,52.6703957733,52.1983724096,53.4929390542,-105.135117706,-118.377006147,-83.2153572838,0.33668868567,0.302340641723,0.398426516172,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP3,ledger_write,1000,1,10,70.542959525,68.4292418116,71.7766365224,0.475219274677,0.471878745094,0.478243619415,-70.067399387,-72.5447669597,-50.0420762183,0.00670509973827,0.00648320867307,0.0109204016528,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP3,ledger_write,1000,5,10,151.119955073,145.794980119,159.983875819,2.36438917607,2.35793724276,2.368986642,-148.752949928,-158.225441652,-142.623758383,0.0156643785468,0.0144385435374,0.0163716089987,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP3,ledger_write,1000,10,10,152.849696866,144.118063794,166.732511478,50.5754721554,49.5434796786,51.7803482446,-102.939542162,-119.483483158,-84.4705276109,0.330070327978,0.301490494037,0.377157687964,1,1,54,10,0.00390625,-0.963636363636,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP4,ledger_write,100,1,10,86.1708651879,82.7160404657,92.1779006318,0.478968266707,0.475723340394,0.479833208881,-85.693602345,-96.1847147468,-61.9338452271,0.0054846383371,0.00478580805032,0.00869709839228,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP4,ledger_write,100,5,10,166.842412203,156.044327969,173.439043243,2.37473931368,2.37121671126,2.37580220834,-164.47016447,-175.365742964,-144.566211082,0.0142187803255,0.0133640702698,0.0162126403212,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP4,ledger_write,100,10,10,144.863200403,83.464456895,155.059416696,63.9537360682,54.6509166942,69.5336939975,-79.6356975717,-88.8306084619,-31.6826700864,0.454401022172,0.428748501681,0.58575039692,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP4,ledger_write,500,1,10,77.8955867724,75.3609128714,78.9776077458,0.480037810058,0.477366940172,0.480289367231,-77.4151663375,-80.4804696832,-74.2482946847,0.00616004275596,0.00588877165509,0.00642717531336,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP4,ledger_write,500,5,10,150.443004019,142.559445888,188.508239663,2.3792238751,2.37407595922,2.38464038665,-148.06058494,-186.414878741,-132.213124612,0.0158364863557,0.0125763385786,0.0178749624497,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP4,ledger_write,500,10,10,167.118168185,151.478283922,179.99360168,55.7321976401,55.5374748757,56.7738728712,-110.933114966,-126.640618491,-92.7715297491,0.336717687152,0.303463017497,0.377714719561,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP4,ledger_write,1000,1,10,75.6021082996,71.2745489142,79.3423741815,0.476503821174,0.47311407018,0.478920809519,-75.1233198992,-79.1064485564,-58.1842178693,0.00633583630518,0.00596812878524,0.00871126596247,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP4,ledger_write,1000,5,10,167.509781968,157.637756808,171.980195412,2.37116966821,2.36982669162,2.37280626235,-165.141124826,-174.505422766,-153.127190176,0.0141412170034,0.0135204836865,0.0152383660684,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP4,ledger_write,1000,10,10,146.106487815,141.296208762,155.637204251,54.5678890979,53.7825294273,55.8908861638,-92.092609457,-101.913667988,-86.7694104541,0.366950220403,0.348008927648,0.386067567313,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP5,read_check,100,1,10,141.804755763,69.1950126442,152.564466473,52.4823956114,51.3558768202,76.2449589282,-70.7650073496,-91.7004912079,-18.8653830304,0.516125454382,0.418508935582,0.732027000096,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP5,read_check,100,5,10,354.337246575,147.377071309,370.266091412,132.538035783,73.8614680843,139.44723752,-208.127799552,-257.00212622,-46.0798354731,0.426378582664,0.28937338815,0.709105911358,1,1,54,10,0.00390625,-0.963636363636,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP5,read_check,100,10,10,281.991193313,141.911139175,305.003414833,133.962470397,117.478884425,139.304421565,-168.933911048,-186.665203612,10.1253396052,0.449239876369,0.388239666732,1.09774595573,6,6,49,10,0.02734375,-0.781818181818,0.02734375,True
successful_throughput_ops_s,Successful throughput,OP5,read_check,500,1,10,139.552694659,130.256730657,142.930022174,66.8144828456,62.4026383442,69.1955858992,-72.0179545198,-83.0829908479,-61.2080632857,0.481076566973,0.433780560626,0.529635188182,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP5,read_check,500,5,10,307.788924729,269.912560995,346.695673063,121.135800471,109.28682518,130.489737328,-189.472395441,-255.831621929,-127.6671735,0.388654135862,0.329105450875,0.508277223576,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP5,read_check,500,10,10,247.447212407,232.287073421,318.970466521,111.080823401,100.354985374,118.524279954,-138.790300071,-209.399787248,-105.383243962,0.416552930786,0.358776096846,0.52603209374,0,0,55,10,0.001953125,-1,0.017578125,True
