pair_id,repetition,operation,workload_size,concurrency,attempt_id_fabric,attempt_id_traditional,run_id_fabric,run_id_traditional,attempted_requests_fabric,attempted_requests_traditional,successful_requests_fabric,successful_requests_traditional,failed_requests_fabric,failed_requests_traditional,success_rate_fabric,success_rate_traditional,p95_latency_ms_fabric,p95_latency_ms_traditional,successful_throughput_ops_s_fabric,successful_throughput_ops_s_traditional,p95_latency_ms_difference,p95_latency_ms_ratio,successful_throughput_ops_s_difference,successful_throughput_ops_s_ratio
final-20260805T122631Z-11a3fbb-n0100-c01-r05,5,OP2,100,1,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01-fabric-measured-OP2,n0100-c01-r05-attempt01-traditional-measured-OP2,100,100,100,100,0,0,1.0,1.0,34.665748099999995,8.718568699999999,35.0077805912613,161.70023031723795,25.9471794,3.97608246179,-126.692449726,0.216498025529
final-20260805T122631Z-11a3fbb-n0100-c01-r05,5,OP3,100,1,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01-fabric-measured-OP3,n0100-c01-r05-attempt01-traditional-measured-OP3,100,100,100,100,0,0,1.0,1.0,2255.55277685,21.7893855,0.474689177878157,66.37710861098502,2233.76339135,103.51612609,-65.9024194331,0.00715139884535
final-20260805T122631Z-11a3fbb-n0100-c01-r05,5,OP4,100,1,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01-fabric-measured-OP4,n0100-c01-r05-attempt01-traditional-measured-OP4,100,100,100,100,0,0,1.0,1.0,2219.11133615,17.579550049999995,0.4750213786634864,86.98609368281902,2201.5317861,126.232544624,-86.5110723042,0.00546088873005
final-20260805T122631Z-11a3fbb-n0100-c01-r05,5,OP5,100,1,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01-fabric-measured-OP5,n0100-c01-r05-attempt01-traditional-measured-OP5,100,100,100,100,0,0,1.0,1.0,22.9010456,31.1612627,52.111556490924414,58.815412123751,-8.2602171,0.734920334278,-6.70385563283,0.886018725522
final-20260805T122631Z-11a3fbb-n0100-c01-r05,5,OP6,100,1,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01-fabric-measured-OP6,n0100-c01-r05-attempt01-traditional-measured-OP6,100,100,100,100,0,0,1.0,1.0,23.11518445,11.8350196,56.542057747512935,104.62782141868148,11.28016485,1.95311754701,-48.0857636712,0.540411307249
final-20260805T122631Z-11a3fbb-n0100-c01-r06,6,OP1,100,1,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01-fabric-measured-OP1,n0100-c01-r06-attempt01-traditional-measured-OP1,100,100,100,100,0,0,1.0,1.0,2238.95411435,51.50478459999998,0.4745586909052439,49.99514524641842,2187.44932975,43.4707985236,-49.5205865555,0.00949209545379
final-20260805T122631Z-11a3fbb-n0100-c01-r06,6,OP2,100,1,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01-fabric-measured-OP2,n0100-c01-r06-attempt01-traditional-measured-OP2,100,100,100,100,0,0,1.0,1.0,26.7021802,8.82118485,46.84136255883984,143.24202148171375,17.88099535,3.02705142836,-96.4006589229,0.327008527765
final-20260805T122631Z-11a3fbb-n0100-c01-r06,6,OP3,100,1,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01-fabric-measured-OP3,n0100-c01-r06-attempt01-traditional-measured-OP3,100,100,100,100,0,0,1.0,1.0,2167.74326895,16.89573195,0.4759107059721835,77.08734774850856,2150.847537,128.301234617,-76.6114370425,0.00617365520896
final-20260805T122631Z-11a3fbb-n0100-c01-r06,6,OP4,100,1,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01-fabric-measured-OP4,n0100-c01-r06-attempt01-traditional-measured-OP4,100,100,100,100,0,0,1.0,1.0,2217.20134835,15.02096725,0.4799428427959399,82.18723629557462,2202.1803811,147.607095565,-81.7072934528,0.0058396274705
final-20260805T122631Z-11a3fbb-n0100-c01-r06,6,OP5,100,1,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01,n0100-c01-r06-attempt01-fabric-measured-OP5,n0100-c01-r06-attempt01-traditional-measured-OP5,100,100,100,100,0,0,1.0,1.0,16.842445599999998,8.5969831,73.93466680952027,146.5223919087135,8.2454625,1.95911116773,-72.5877250992,0.504596368148
